date_time,Allansford_maxtempC,Allansford_mintempC,Allansford_totalSnow_cm,Allansford_sunHour,Allansford_uvIndex,Allansford_uvIndex,Allansford_moon_illumination,Allansford_moonrise,Allansford_moonset,Allansford_sunrise,Allansford_sunset,Allansford_DewPointC,Allansford_FeelsLikeC,Allansford_HeatIndexC,Allansford_WindChillC,Allansford_WindGustKmph,Allansford_cloudcover,Allansford_humidity,Allansford_precipMM,Allansford_pressure,Allansford_tempC,Allansford_visibility,Allansford_winddirDegree,Allansford_windspeedKmph
2020-02-06 06:00:00,25,11,0.0,13.9,6,1,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,10,11,12,11,15,19,91,0.0,1020,12,7,102,9
2020-02-06 09:00:00,25,11,0.0,13.9,6,5,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,11,17,17,17,14,15,69,0.0,1020,17,10,98,11
2020-02-06 12:00:00,25,11,0.0,13.9,6,6,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,13,24,24,24,15,11,50,0.0,1019,24,10,129,13
2020-02-06 15:00:00,25,11,0.0,13.9,6,6,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,14,25,25,24,22,7,55,0.0,1018,24,10,155,19
2020-02-06 18:00:00,25,11,0.0,13.9,6,1,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,15,21,22,21,29,5,69,0.0,1018,21,10,153,21
2020-02-06 21:00:00,25,11,0.0,13.9,6,1,87,05:16 PM,02:03 AM,05:47 AM,07:40 PM,15,18,18,18,27,6,81,0.0,1019,18,10,116,15
2020-02-07 00:00:00,26,15,0.0,13.9,6,1,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,14,16,16,16,23,27,91,0.0,1020,16,10,109,12
2020-02-07 03:00:00,26,15,0.0,13.9,6,1,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,14,15,15,15,20,31,95,0.0,1020,15,5,127,10
2020-02-07 06:00:00,26,15,0.0,13.9,6,1,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,15,16,16,16,19,39,93,0.0,1021,16,7,118,11
2020-02-07 09:00:00,26,15,0.0,13.9,6,6,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,16,21,22,21,16,19,72,0.0,1022,21,10,104,12
2020-02-07 12:00:00,26,15,0.0,13.9,6,7,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,17,27,27,25,21,8,60,0.0,1022,25,10,145,18
2020-02-07 15:00:00,26,15,0.0,13.9,6,6,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,17,26,26,25,28,5,62,0.0,1021,25,10,162,24
2020-02-07 18:00:00,26,15,0.0,13.9,6,1,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,16,21,22,21,34,8,72,0.0,1021,21,10,151,26
2020-02-07 21:00:00,26,15,0.0,13.9,6,1,95,06:14 PM,02:58 AM,05:48 AM,07:39 PM,16,18,18,18,29,36,89,0.0,1022,18,10,136,19
2020-02-08 00:00:00,28,16,0.0,13.3,6,1,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,15,16,16,16,19,70,96,0.0,1023,16,5,126,10
2020-02-08 03:00:00,28,16,0.0,13.3,6,1,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,15,16,16,16,18,94,97,0.0,1022,16,1,113,10
2020-02-08 06:00:00,28,16,0.0,13.3,6,1,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,16,18,18,18,21,99,91,0.0,1023,18,7,107,14
2020-02-08 09:00:00,28,16,0.0,13.3,6,5,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,16,22,23,22,22,36,71,0.0,1023,22,10,101,18
2020-02-08 12:00:00,28,16,0.0,13.3,6,7,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,16,27,27,26,26,2,53,0.0,1022,26,10,100,22
2020-02-08 15:00:00,28,16,0.0,13.3,6,7,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,16,28,28,27,27,3,49,0.0,1020,27,10,105,23
2020-02-08 18:00:00,28,16,0.0,13.3,6,1,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,15,26,26,25,29,9,57,0.0,1020,25,10,112,20
2020-02-08 21:00:00,28,16,0.0,13.3,6,1,100,07:07 PM,04:02 AM,05:49 AM,07:38 PM,14,20,21,20,30,8,70,0.0,1020,20,10,109,17
2020-02-09 00:00:00,27,17,0.0,13.3,6,1,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,18,18,18,28,10,79,0.0,1020,18,10,101,15
2020-02-09 03:00:00,27,17,0.0,13.3,6,1,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,17,17,17,28,16,82,0.0,1019,17,10,91,16
2020-02-09 06:00:00,27,17,0.0,13.3,6,1,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,18,18,18,28,18,78,0.0,1019,18,10,88,18
2020-02-09 09:00:00,27,17,0.0,13.3,6,6,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,22,23,22,26,12,63,0.0,1019,22,10,90,21
2020-02-09 12:00:00,27,17,0.0,13.3,6,7,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,26,26,26,23,58,48,0.0,1018,26,10,96,20
2020-02-09 15:00:00,27,17,0.0,13.3,6,6,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,27,27,26,24,70,47,0.0,1015,26,10,102,21
2020-02-09 18:00:00,27,17,0.0,13.3,6,1,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,15,25,25,24,29,33,58,0.0,1015,24,10,109,21
2020-02-09 21:00:00,27,17,0.0,13.3,6,1,100,07:54 PM,05:12 AM,05:51 AM,07:37 PM,14,20,21,20,26,23,71,0.0,1015,20,10,109,16
2020-02-10 00:00:00,25,17,0.0,9.8,6,1,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,13,19,19,19,28,40,71,0.0,1014,19,10,95,18
2020-02-10 03:00:00,25,17,0.0,9.8,6,1,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,12,18,18,18,27,51,68,0.0,1013,18,10,95,17
