date_time,Aimadamodo_maxtempC,Aimadamodo_mintempC,Aimadamodo_totalSnow_cm,Aimadamodo_sunHour,Aimadamodo_uvIndex,Aimadamodo_uvIndex,Aimadamodo_moon_illumination,Aimadamodo_moonrise,Aimadamodo_moonset,Aimadamodo_sunrise,Aimadamodo_sunset,Aimadamodo_DewPointC,Aimadamodo_FeelsLikeC,Aimadamodo_HeatIndexC,Aimadamodo_WindChillC,Aimadamodo_WindGustKmph,Aimadamodo_cloudcover,Aimadamodo_humidity,Aimadamodo_precipMM,Aimadamodo_pressure,Aimadamodo_tempC,Aimadamodo_visibility,Aimadamodo_winddirDegree,Aimadamodo_windspeedKmph
2020-03-29 21:00:00,30,25,0.0,10.2,6,1,32,09:33 AM,09:26 PM,05:57 AM,05:58 PM,24,31,31,28,27,78,76,0.2,1009,28,10,132,18
2020-03-30 00:00:00,30,28,0.0,11.6,6,1,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,29,29,26,25,76,76,0.1,1009,26,10,121,17
2020-03-30 03:00:00,30,28,0.0,11.6,6,1,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,33,33,29,22,54,77,0.1,1008,29,10,115,15
2020-03-30 06:00:00,30,28,0.0,11.6,6,7,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,33,33,28,22,2,77,0.0,1009,28,10,106,15
2020-03-30 09:00:00,30,28,0.0,11.6,6,7,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,34,34,29,18,3,75,0.0,1010,29,10,113,13
2020-03-30 12:00:00,30,28,0.0,11.6,6,8,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,25,36,36,30,17,3,72,0.0,1009,30,10,135,13
2020-03-30 15:00:00,30,28,0.0,11.6,6,8,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,35,35,30,22,0,72,0.0,1008,30,10,132,16
2020-03-30 18:00:00,30,28,0.0,11.6,6,1,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,34,34,29,25,0,75,0.0,1008,29,10,126,17
2020-03-30 21:00:00,30,28,0.0,11.6,6,1,40,10:23 AM,10:12 PM,05:57 AM,05:58 PM,24,34,34,29,25,0,76,0.0,1009,29,10,118,17
2020-03-31 00:00:00,30,28,0.0,11.6,7,1,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,24,33,33,29,21,1,75,0.0,1010,29,10,117,14
2020-03-31 03:00:00,30,28,0.0,11.6,7,1,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,23,32,32,28,19,2,75,0.0,1009,28,10,130,13
2020-03-31 06:00:00,30,28,0.0,11.6,7,7,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,23,32,32,28,18,2,74,0.0,1009,28,10,120,13
2020-03-31 09:00:00,30,28,0.0,11.6,7,7,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,23,33,33,29,13,3,68,0.0,1010,29,10,123,9
2020-03-31 12:00:00,30,28,0.0,11.6,7,8,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,22,34,34,30,6,5,60,0.0,1009,30,10,168,4
2020-03-31 15:00:00,30,28,0.0,11.6,7,8,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,22,34,34,30,10,1,62,0.0,1008,30,10,186,7
2020-03-31 18:00:00,30,28,0.0,11.6,7,1,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,23,34,34,30,20,3,66,0.0,1009,30,10,155,14
2020-03-31 21:00:00,30,28,0.0,11.6,7,1,44,11:16 AM,11:03 PM,05:57 AM,05:57 PM,23,33,33,29,20,0,69,0.0,1010,29,10,132,14
2020-04-01 00:00:00,30,29,0.0,11.6,7,1,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,23,33,33,29,18,3,70,0.0,1010,29,10,123,13
2020-04-01 03:00:00,30,29,0.0,11.6,7,1,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,23,32,32,29,15,8,70,0.0,1009,29,10,121,10
2020-04-01 06:00:00,30,29,0.0,11.6,7,7,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,32,32,29,12,9,68,0.0,1010,29,10,115,8
2020-04-01 09:00:00,30,29,0.0,11.6,7,7,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,33,33,29,10,12,66,0.0,1011,29,10,190,8
2020-04-01 12:00:00,30,29,0.0,11.6,7,7,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,33,33,30,4,11,62,0.0,1010,30,10,306,3
2020-04-01 15:00:00,30,29,0.0,11.6,7,7,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,32,32,29,3,24,62,0.0,1008,29,10,207,2
2020-04-01 18:00:00,30,29,0.0,11.6,7,1,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,32,32,29,3,13,63,0.0,1008,29,10,84,2
2020-04-01 21:00:00,30,29,0.0,11.6,7,1,56,12:10 PM,11:58 PM,05:57 AM,05:56 PM,22,32,32,29,7,1,66,0.0,1010,29,10,110,5
2020-04-02 00:00:00,30,28,0.0,11.6,7,1,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,31,31,28,8,3,67,0.0,1010,28,10,111,5
2020-04-02 03:00:00,30,28,0.0,11.6,7,1,64,01:06 PM,No moonset,05:57 AM,05:56 PM,21,31,31,28,7,3,67,0.0,1009,28,10,138,5
2020-04-02 06:00:00,30,28,0.0,11.6,7,7,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,31,31,28,10,3,69,0.0,1010,28,10,145,7
2020-04-02 09:00:00,30,28,0.0,11.6,7,7,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,32,32,29,9,3,65,0.0,1011,29,10,138,6
2020-04-02 12:00:00,30,28,0.0,11.6,7,7,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,33,33,30,6,7,62,0.0,1010,30,10,207,5
