date_time,Alyangula_maxtempC,Alyangula_mintempC,Alyangula_totalSnow_cm,Alyangula_sunHour,Alyangula_uvIndex,Alyangula_uvIndex,Alyangula_moon_illumination,Alyangula_moonrise,Alyangula_moonset,Alyangula_sunrise,Alyangula_sunset,Alyangula_DewPointC,Alyangula_FeelsLikeC,Alyangula_HeatIndexC,Alyangula_WindChillC,Alyangula_WindGustKmph,Alyangula_cloudcover,Alyangula_humidity,Alyangula_precipMM,Alyangula_pressure,Alyangula_tempC,Alyangula_visibility,Alyangula_winddirDegree,Alyangula_windspeedKmph
2020-02-03 03:00:00,31,24,0.0,10.3,6,1,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,24,33,33,28,30,66,78,8.2,1006,28,3,321,15
2020-02-03 06:00:00,31,24,0.0,10.3,6,1,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,24,32,32,28,32,57,81,8.1,1007,28,3,261,16
2020-02-03 09:00:00,31,24,0.0,10.3,6,6,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,25,32,32,28,25,84,83,15.2,1009,28,3,179,12
2020-02-03 12:00:00,31,24,0.0,10.3,6,7,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,24,35,35,30,14,11,69,0.0,1008,30,10,300,11
2020-02-03 15:00:00,31,24,0.0,10.3,6,8,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,23,35,35,31,3,26,65,0.0,1006,31,10,190,3
2020-02-03 18:00:00,31,24,0.0,10.3,6,7,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,25,31,31,27,6,29,68,0.0,1006,27,10,123,4
2020-02-03 21:00:00,31,24,0.0,10.3,6,1,64,01:28 PM,12:33 AM,06:17 AM,06:59 PM,25,26,26,24,26,74,77,0.3,1008,24,9,38,18
2020-02-04 00:00:00,30,29,0.0,7.6,6,1,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,25,35,35,29,24,84,79,1.0,1007,29,10,353,17
2020-02-04 03:00:00,30,29,0.0,7.6,6,1,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,25,34,34,29,31,70,78,4.2,1006,29,7,322,17
2020-02-04 06:00:00,30,29,0.0,7.6,6,1,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,24,33,33,29,37,75,77,7.5,1007,29,7,295,18
2020-02-04 09:00:00,30,29,0.0,7.6,6,6,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,24,34,34,30,30,79,73,9.6,1008,30,3,298,14
2020-02-04 12:00:00,30,29,0.0,7.6,6,6,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,24,34,34,30,19,81,70,2.9,1007,30,7,321,12
2020-02-04 15:00:00,30,29,0.0,7.6,6,7,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,24,35,35,30,24,85,70,2.9,1006,30,7,325,15
2020-02-04 18:00:00,30,29,0.0,7.6,6,7,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,23,34,34,30,13,31,69,0.0,1006,30,10,343,9
2020-02-04 21:00:00,30,29,0.0,7.6,6,1,72,02:21 PM,01:16 AM,06:18 AM,06:58 PM,24,35,35,30,23,21,73,0.0,1008,30,10,9,15
2020-02-05 00:00:00,30,28,0.0,10.3,7,1,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,25,34,34,29,21,15,78,0.0,1007,29,10,339,14
2020-02-05 03:00:00,30,28,0.0,10.3,7,1,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,24,32,32,28,23,18,78,0.0,1006,28,10,319,16
2020-02-05 06:00:00,30,28,0.0,10.3,7,1,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,24,32,32,28,27,23,78,0.0,1007,28,10,297,18
2020-02-05 09:00:00,30,28,0.0,10.3,7,7,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,24,34,34,29,20,13,75,0.0,1009,29,10,282,16
2020-02-05 12:00:00,30,28,0.0,10.3,7,7,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,23,34,34,30,10,15,68,0.0,1007,30,10,251,8
2020-02-05 15:00:00,30,28,0.0,10.3,7,7,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,23,35,35,30,6,84,66,0.4,1005,30,9,221,4
2020-02-05 18:00:00,30,28,0.0,10.3,7,7,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,24,36,36,30,17,53,70,0.4,1006,30,10,128,12
2020-02-05 21:00:00,30,28,0.0,10.3,7,1,79,03:16 PM,02:03 AM,06:18 AM,06:58 PM,25,35,35,29,23,55,76,2.4,1007,29,10,96,14
2020-02-06 00:00:00,31,24,0.0,7.6,6,1,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,35,35,29,19,75,76,1.3,1007,29,10,41,13
2020-02-06 03:00:00,31,24,0.0,7.6,6,1,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,35,35,29,27,81,78,3.3,1006,29,7,338,16
2020-02-06 06:00:00,31,24,0.0,7.6,6,1,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,35,35,29,24,84,77,3.6,1007,29,7,326,14
2020-02-06 09:00:00,31,24,0.0,7.6,6,7,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,37,37,31,21,73,72,3.8,1008,31,7,279,12
2020-02-06 12:00:00,31,24,0.0,7.6,6,8,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,24,36,36,30,18,16,71,0.0,1007,30,10,227,15
2020-02-06 15:00:00,31,24,0.0,7.6,6,7,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,24,36,36,31,16,85,68,0.7,1005,31,9,203,13
2020-02-06 18:00:00,31,24,0.0,7.6,6,6,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,31,31,28,13,80,71,0.2,1006,28,10,161,8
2020-02-06 21:00:00,31,24,0.0,7.6,6,1,87,04:14 PM,02:55 AM,06:18 AM,06:58 PM,25,26,26,24,26,79,77,0.4,1007,24,9,84,17
2020-02-07 00:00:00,31,29,0.0,7.5,7,1,95,05:13 PM,03:52 AM,06:19 AM,06:58 PM,25,35,35,29,16,74,76,2.4,1007,29,10,87,9
2020-02-07 03:00:00,31,29,0.0,7.5,7,1,95,05:13 PM,03:52 AM,06:19 AM,06:58 PM,24,34,34,30,10,89,70,5.7,1006,30,7,316,5
2020-02-07 06:00:00,31,29,0.0,7.5,7,1,95,05:13 PM,03:52 AM,06:19 AM,06:58 PM,24,34,34,29,7,88,73,0.3,1008,29,9,275,5
2020-02-07 09:00:00,31,29,0.0,7.5,7,8,95,05:13 PM,03:52 AM,06:19 AM,06:58 PM,24,35,35,30,11,28,69,0.0,1008,30,10,236,8
